date,value
2016-01-25,0.0354011
2016-02-11,0.118389
2016-03-25,0.0460991
2016-04-24,0.0632445
2016-05-11,0.227553
2016-06-20,0.196025
2016-07-10,0.299696
2016-08-29,0.42353
2016-09-11,0.0657443
2016-10-18,0.218416
2016-11-20,0.0614586
2016-12-30,0.033401
2017-01-19,0.0440002
2017-02-05,0.394558
2017-03-17,0.231529
2017-04-26,0.229954
2017-05-19,0.0574749
2017-06-08,0.0729308
2017-07-25,0.403076
2017-08-27,0.0797528
2017-09-28,0.244022
2017-10-23,0.239659
2017-11-17,0.242108
2017-12-02,0.128014
2018-01-16,0.267946
2018-02-13,0.0487908
2018-03-12,0.284521
2018-04-19,0.0577562
2018-05-06,0.440997
2018-06-18,0.0785244
2018-07-20,0.412775
2018-08-14,0.413708
2018-09-08,0.41602
2018-10-16,0.0725542
2018-11-27,0.329183
2018-12-30,0.0777914
2019-01-04,0.06366436928510666
2019-02-20,0.468613
2019-03-20,0.0884244
2019-04-21,0.438776
2019-05-04,0.078325
2019-06-23,0.0658163
2019-07-23,0.07593671977519989
2019-08-02,0.0707101
2019-09-08,0.305679
2019-10-23,0.378368
2019-11-15,0.0745143
2019-12-20,0.0691723
2020-01-21,0.294104
2020-02-23,0.0737409
2020-03-29,0.0642374
2020-04-23,0.071629
2020-05-05,0.371756
2020-06-12,0.0874414
2020-07-07,0.0833587
2020-08-23,0.421197
2020-09-25,0.0651439
2020-10-30,0.0837319
2020-11-09,0.0627355
2020-12-01,0.296689
2021-01-03,0.0561898
2021-02-27,0.082184
2021-03-21,0.31693
2021-04-23,0.0879397
2021-05-30,0.27259
2021-06-09,0.390688
2021-07-29,0.396958
2021-08-08,0.270201
2021-09-25,0.072214
2021-10-07,0.479126
2021-11-06,0.401587
2021-12-09,0.0630215
2022-01-05,0.406026
2022-02-14,0.308995
2022-03-01,0.407211
2022-04-15,0.373733
2022-05-28,0.0843534
2022-06-22,0.0723533
2022-07-29,0.36849
2022-08-08,0.445289
2022-09-07,0.41316
2022-10-07,0.270068
2022-11-11,0.272263
2022-12-09,0.0467292
2023-01-13,0.0128352
2023-02-19,0.255325
2023-03-29,0.0763949
2023-04-23,0.0763749
2023-05-15,0.350013
2023-06-24,0.438514
2023-07-29,0.445069
2023-08-16,0.0843552
2023-09-27,0.355317
2023-10-30,0.05399710312485695
2023-11-11,0.223516
2023-12-09,0.0701889
2024-01-10,0.293236
2024-02-24,0.264843
2024-03-30,0.345994
2024-04-02,0.0623515
2024-05-07,0.0583626
2024-06-16,0.0612298
2024-07-28,0.448506
2024-08-15,0.0700526
2024-09-24,0.0838271
2024-10-09,0.06280671060085297
