value,x,y
Defence Heritage,-5.935628218815148,54.596716022364255
Defence Heritage,-5.937654100157845,54.597047077959786
Defence Heritage,-5.928035485271911,54.59996460593725
Defence Heritage,-5.929854462819604,54.59644665327401
Industrial Heritage,-5.921935462446373,54.60517913632454
Industrial Heritage,-5.920985706202421,54.60255715878279
Industrial Heritage,-5.920425677914023,54.604434394237806
Industrial Heritage,-5.9303453551227765,54.60415522286827
Industrial Heritage,-5.931359511521725,54.60552031893892
Industrial Heritage,-5.931868972801921,54.604630525508846
Industrial Heritage,-5.93088191559472,54.60578170365043
Industrial Heritage,-5.919732774791465,54.60891500457488
Industrial Heritage,-5.921193329092234,54.6075923493139
Industrial Heritage,-5.933592760771173,54.60421072535495
Industrial Heritage,-5.928994646002143,54.603323459179215
Industrial Heritage,-5.928631057836768,54.601340528565
Industrial Heritage,-5.931964579831092,54.60274530472834
Industrial Heritage,-5.932937880657922,54.601863433832
Industrial Heritage,-5.933879303381804,54.601609962584334
Industrial Heritage,-5.934425068529207,54.60305688413172
Industrial Heritage,-5.934916247631719,54.60252616704784
Industrial Heritage,-5.9350071610538,54.600730714624895
Industrial Heritage,-5.934907082806318,54.59965080388661
Industrial Heritage,-5.935511936499186,54.59993067665416
Industrial Heritage,-5.935575552507027,54.5986738590115
Industrial Heritage,-5.935184604232511,54.60333939850735
Industrial Heritage,-5.926885052222417,54.59915421623843
Industrial Heritage,-5.925047896474204,54.598763321959694
Industrial Heritage,-5.925370829669885,54.59849930847863
Industrial Heritage,-5.923478873928068,54.5991856557467
Industrial Heritage,-5.917472911106202,54.595578255754816
Industrial Heritage,-5.930123219967408,54.59633444606023
Industrial Heritage,-5.925039421234653,54.595887962419695
Industrial Heritage,-5.914189502629863,54.59624049904309
Industrial Heritage,-5.932678582808129,54.60392555901975
Industrial Heritage,-5.931928159410907,54.60346348415633
Industrial Heritage,-5.925670313969347,54.6017390576277
Industrial Heritage,-5.93465244769503,54.60162316237983
Industrial Heritage,-5.929754771644312,54.59749619668626
Industrial Heritage,-5.929131762796491,54.59757538511052
Industrial Heritage,-5.931619231852867,54.59734838453394
Industrial Heritage,-5.925566537973874,54.59769401033689
Industrial Heritage,-5.930764193872324,54.5989510699419
Industrial Heritage,-5.928290717602664,54.5958538292732
Industrial Heritage,-5.931832867095177,54.5992388929686
Industrial Heritage,-5.928531147442338,54.600260614106034
Industrial Heritage,-5.931855627545396,54.59879003054995
Industrial Heritage,-5.9335200390338025,54.59953727163216
Industrial Heritage,-5.928913701596863,54.59577464494446
Industrial Heritage,-5.931701169279486,54.5957324793499
Industrial Heritage,-5.933401807982434,54.59881645014116
Industrial Heritage,-5.926089134556364,54.59958982800503
Industrial Heritage,-5.926698489272679,54.59977997213671
Industrial Heritage,-5.926699025420398,54.59672506770823
Industrial Heritage,-5.9268896152320805,54.59906444403716
Industrial Heritage,-5.930232003781821,54.60028972179842
Industrial Heritage,-5.930391182734774,54.60020259438502
Industrial Heritage,-5.92891751775672,54.60179468386593
Industrial Heritage,-5.925096809791629,54.60388563305593
Industrial Heritage,-5.924488111232079,54.60064057939027
Industrial Heritage,-5.932055761098074,54.59789494835297
Industrial Heritage,-5.933169906340402,54.59728503409475
Industrial Heritage,-5.931837569356596,54.59609421241612
Industrial Heritage,-5.935857378137887,54.59616286063672
Industrial Heritage,-5.923469732837522,54.59936519975647
Industrial Heritage,-5.933074310846265,54.602225165431136
Land Use,-5.917137280836898,54.59457513618423
Land Use,-5.931929933897074,54.60434404673445
Land Use,-5.930840628924981,54.60446019920267
Land Use,-5.9240255553892895,54.60455910606387
Land Use,-5.925359858671248,54.59658530609837
Land Use,-5.9155423791090405,54.59611106905343
Land Use,-5.919688966325524,54.606739871576856
Land Use,-5.918537015069235,54.60747480501747
Land Use,-5.920899880899133,54.59786548882308
Land Use,-5.921976419551441,54.5989082790435
Land Use,-5.934772495152036,54.60078061950136
Land Use,-5.921753088064931,54.60815005177079
Land Use,-5.934256752122958,54.59843570896139
Land Use,-5.922826815634772,54.59892288167687
Land Use,-5.92723064434534,54.604838678875566
Land Use,-5.9318613447401525,54.602644704952986
Land Use,-5.930302125349108,54.60439707911383
Industrial Heritage,-5.919419982845982,54.60594456302081
Industrial Heritage,-5.91369665132421,54.608900934156765
Industrial Heritage,-5.917282483575827,54.60536868748092
Defence Heritage,-5.989667093210632,54.56274641841814
Industrial Heritage,-5.9868177780900815,54.56377721882484
Industrial Heritage,-5.979812431702188,54.56473860335488
Industrial Heritage,-5.987290099023671,54.56360538066311
Land Use,-5.988836817977231,54.56296622350658
Land Use,-5.978620603680317,54.54976765273981
Industrial Heritage,-5.9962058601712975,54.558362451851686
Industrial Heritage,-5.989387429790233,54.55240904447703
WMU,-6.008136480676562,54.56098548009946
Land Use,-5.995877142530983,54.563801891653824
Industrial Heritage,-5.97860021708944,54.58610258759701
Industrial Heritage,-5.980804241083679,54.58533074929655
Land Use,-5.979475814688356,54.58529059888204
Land Use,-5.979270491979119,54.58381363571917
Land Use,-5.977434854719097,54.58214769479791
Land Use,-5.977301228350576,54.58047425628973
Industrial Heritage,-6.024430478895621,54.57571843678652
Industrial Heritage,-6.023324575760569,54.57300490105936
Industrial Heritage,-6.019174079693713,54.5724877567779
Industrial Heritage,-6.018762778888079,54.571402831598746
Land Use,-5.97652887594669,54.574836744658256
Land Use,-5.977348882867219,54.5757669272609
Land Use,-5.979516968697002,54.57946004492054
Land Use,-5.97776734662853,54.57731035464002
Land Use,-5.978075533428345,54.57608456516159
Land Use,-5.978246845231673,54.57481156221712
Land Use,-5.989370664896332,54.57316404955683
Land Use,-5.988481460356051,54.57331997931733
Land Use,-6.01449029305743,54.57021864257687
Land Use,-6.022845952457779,54.57650118774637
Licensed Sites,-5.973618381295135,54.57769915467081
LQPlanApps,-5.978440285293462,54.574653065782485
LQPlanApps,-5.978323666453567,54.57482183120646
ELVs,-6.014187637523924,54.56976442801779
Licensed Sites,-5.995895367400206,54.59052340741759
WMU,-6.021797260352345,54.57707704502802
Defence Heritage,-5.939425500439425,54.588631337934814
Industrial Heritage,-5.939025859331329,54.588579605073214
Industrial Heritage,-5.940257967852719,54.58869043954931
Industrial Heritage,-5.935806935585505,54.587985621710175
Industrial Heritage,-5.941176391524398,54.58888577366323
Industrial Heritage,-5.939412954207783,54.59316856234611
Industrial Heritage,-5.933206339270763,54.59351194318194
Industrial Heritage,-5.944104394101537,54.58911526843799
Industrial Heritage,-5.944631453475076,54.587866321472816
Industrial Heritage,-5.938848604657249,54.589025836678815
Industrial Heritage,-5.941913072235165,54.58961711040568
Industrial Heritage,-5.940272059349434,54.59147603735476
Industrial Heritage,-5.937557497996194,54.59008203615907
Industrial Heritage,-5.950565314584538,54.58985384381364
Industrial Heritage,-5.952579438194029,54.58979809728912
Industrial Heritage,-5.954258782257743,54.58407610424944
Industrial Heritage,-5.954476343705943,54.582821882169455
Industrial Heritage,-5.951965601196603,54.589697857192114
Industrial Heritage,-5.955460517106036,54.57861556564493
Industrial Heritage,-5.948605350407681,54.5888322739065
Industrial Heritage,-5.956773263591917,54.57711029515801
Land Use,-5.935853133478712,54.593188744066
Land Use,-5.963981840729661,54.57212836491015
Land Use,-5.959461726518089,54.57778462868679
Land Use,-5.960150510586246,54.57390573792136
Land Use,-5.95175882796598,54.59196756237768
Land Use,-5.957784629541884,54.58100889796096
Land Use,-5.954912046949717,54.590178981478566
Land Use,-5.946694545366031,54.59052498010313
Land Use,-5.941672438087535,54.59132017071108
Land Use,-5.9566218866045375,54.58909373387252
Land Use,-5.943096623772222,54.59191943424593
Land Use,-5.952723399108165,54.58847075303515
Land Use,-5.935681640075001,54.59168531784986
Land Use,-5.937570510407063,54.58829423670513
Land Use,-5.95163542870169,54.58949459715093
Land Use,-5.951684234409401,54.58574867535408
Land Use,-5.958205356815337,54.58744027521004
Industrial Heritage,-5.939872669880471,54.59632114841602
Industrial Heritage,-5.945401578260867,54.59407906364165
Industrial Heritage,-5.944924206701817,54.59434050615296
Industrial Heritage,-5.945710781090384,54.59408431423584
Industrial Heritage,-5.939236091145826,54.59666970808595
Industrial Heritage,-5.937680616757812,54.593767996446495
Industrial Heritage,-5.936912159817811,54.59366504440667
Industrial Heritage,-5.938230956771258,54.59512512996941
Industrial Heritage,-5.944392543656714,54.59567922573621
Industrial Heritage,-5.939204741723901,54.60035303085398
Industrial Heritage,-5.952032798467578,54.5976057939207
Industrial Heritage,-5.9365802579350015,54.594108635510544
Industrial Heritage,-5.9370395201397,54.594206317755386
Land Use,-5.937681524431924,54.59375004186805
Land Use,-5.9405553665297965,54.59444591739962
Land Use,-5.950145023301056,54.59390794532335
Land Use,-5.940495032962359,54.598092807253686
Land Use,-5.939112323262297,54.59605661858895
Land Use,-5.937355691911433,54.5959098781443
