age,annual_income,spending_score
56,94740,28
69,86617,74
46,114841,39
32,36896,57
60,66175,17
25,27805,86
38,25237,90
56,40056,44
36,65543,25
40,76556,17
28,23343,13
28,33500,84
41,73222,25
70,49375,68
53,29662,10
57,36964,67
41,79638,18
20,93666,100
39,105067,86
70,87215,34
19,89042,8
41,33284,40
61,92789,83
47,104664,42
55,113468,41
19,81389,6
38,29435,52
50,74340,26
29,64078,64
39,98832,98
61,71293,59
42,115981,56
66,98781,59
44,80403,70
59,49124,33
45,115435,53
33,63919,22
32,55247,21
64,114758,70
68,111747,70
61,82752,4
69,76573,94
20,79101,75
54,46646,62
68,43049,62
24,99605,94
38,118116,95
26,117379,24
56,88385,55
35,60158,9
21,85417,3
42,43289,31
31,29823,40
67,80160,36
26,61975,24
43,29540,95
70,36364,6
19,24611,66
37,47663,84
45,71991,92
64,77679,75
24,50977,4
61,114704,79
25,69115,6
64,111007,94
52,108223,51
31,80890,62
34,86387,57
53,38071,66
67,79275,79
57,92369,75
21,31938,8
19,55195,26
23,111680,51
59,24000,45
21,90588,44
46,113610,5
35,117856,70
43,58304,26
61,89449,68
51,102986,19
27,109643,84
53,40764,97
31,106027,20
48,58494,12
65,23373,47
32,32161,1
25,117532,90
31,112658,14
40,47350,64
57,113008,38
38,114297,37
33,45351,11
62,108668,100
35,35305,77
64,95353,3
70,96797,33
41,85953,6
43,77458,50
42,40358,10
62,23267,5
58,102745,23
46,109588,10
32,58513,44
62,46092,2
18,31338,13
42,20412,40
24,27543,2
26,53496,84
41,80692,65
18,109084,63
61,112920,73
25,64425,17
41,58756,9
28,38888,75
68,55735,15
34,67295,24
25,103042,38
52,105999,35
52,37955,94
50,57841,95
22,90640,49
59,85510,69
56,54911,62
58,79031,60
45,108726,50
24,27357,78
26,52479,75
25,81476,9
29,64811,34
51,56208,76
50,40150,99
65,91180,35
40,63286,1
41,88450,40
54,41352,64
52,75069,22
61,34397,60
57,61555,64
39,66959,93
44,20728,72
52,70517,11
18,86234,14
52,59954,60
54,67280,30
64,99459,35
31,36779,85
20,83932,37
18,92936,5
22,44466,83
43,56939,78
31,89896,26
56,55270,62
44,79163,4
26,102637,89
32,71934,42
32,84895,89
43,52307,18
59,74098,40
30,80921,72
68,25486,39
49,28335,14
56,106900,32
66,109112,51
69,117203,38
49,31130,97
21,107508,23
47,80566,63
54,86703,15
40,47192,97
56,21062,25
62,104076,17
32,109780,97
60,41545,66
46,41689,78
53,31174,53
30,108461,51
49,29348,39
24,43714,51
68,58102,70
39,94460,6
45,109930,67
19,26801,7
59,92267,51
62,68136,72
70,43625,42
23,102873,64
45,92592,15
45,97052,29
61,64261,33
61,21542,94
37,41677,27
47,66732,36
28,70343,29
